system:index,forest_lab,id,max_ndvi,mean_ndvi,min_ndvi,ndvi_01,ndvi_02,ndvi_03,ndvi_04,ndvi_05,ndvi_06,ndvi_07,ndvi_08,ndvi_09,ndvi_10,ndvi_11,ndvi_12,ndvi_amplitude,rand,subset,.geo
0000000000000000009b_0,1,AL_221095642,0.8867023587226868,0.6941460445523262,0.42933809757232666,0.4342378,0.4293381,0.55410904,0.85439426,0.88670236,0.6790335,0.87598425,0.846391,0.83469313,0.80013776,0.631979,0.5027523,0.4573642611503601,0.221095642839835,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d_0,1,AL_222507914,0.877493679523468,0.7304224818944931,0.5498783588409424,0.54987836,0.5510204,0.5499634,0.81163085,0.8774937,0.8635407,0.827279,0.84672433,0.8501992,0.8344262,0.6038961,0.59901756,0.32761532068252563,0.22250791402299,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6_0,1,AL_231893569,0.8209179043769836,0.7628168612718582,0.5972889065742493,0.77111447,0.75504184,0.67807585,0.7616953,0.815864,0.7991374,0.79708695,0.8209179,0.5972889,0.78503245,0.79016376,0.78238344,0.22362899780273438,0.231893569633756,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7_0,1,AL_252332090,0.7777777910232544,0.718051478266716,0.6180142164230347,0.62600493,0.6180142,0.63292456,0.7707961,0.76524264,0.73730296,0.7777778,0.7726084,0.7612007,0.7334464,0.7101911,0.7111079,0.15976357460021973,0.252332090625407,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8_0,1,AL_258531900,0.861920177936554,0.7706893036762873,0.6664950847625732,0.6664951,0.6700515,0.75371903,0.83449954,0.84489316,0.845979,0.8619202,0.8370858,0.8047763,0.684663,0.7522896,0.6918995,0.1954250931739807,0.258531900499844,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5_0,1,AL_279021956,0.8056384325027466,0.7492766852180163,0.4531865417957306,0.7915001,0.7564984,0.730918,0.74032205,0.7771855,0.45318654,0.77339077,0.78004766,0.8055771,0.78650445,0.79055125,0.80563843,0.352451890707016,0.2790219563335,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9_0,1,AL_288075488,0.839072048664093,0.7070264536887407,0.023358307778835297,0.71758664,0.6383471,0.8213568,0.81544465,0.80738175,0.7783885,0.023358308,0.83907205,0.77045023,0.8266129,0.75649625,0.6898223,0.8157137408852577,0.288075488465856,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce_0,1,AL_293385709,0.8762340545654297,0.7684061229228973,0.5618153214454651,0.578918,0.5618153,0.61241484,0.7649071,0.85387087,0.8639363,0.87623405,0.8637689,0.85866165,0.8353324,0.775,0.7760141,0.3144187331199646,0.293385709709162,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5_0,1,AL_303088513,0.8740648627281189,0.8137969672679901,0.7057449817657471,0.7492289,0.705745,0.789564,0.87406486,0.85037273,0.8323227,0.86229086,0.83417934,0.8336827,0.8247683,0.80637544,0.80296874,0.16831988096237183,0.303088513589597,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7_0,1,AL_307323446,0.8763071298599243,0.7493551522493362,0.5651341080665588,0.6017248,0.5651341,0.677588,0.84124285,0.8727158,0.8716414,0.87630713,0.8484642,0.65439403,0.8127007,0.7226643,0.6476846,0.3111730217933655,0.307323446559049,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc_0,1,AL_313644254,0.8013924360275269,0.6947434345881144,0.5530364513397217,0.5719695,0.55303645,0.6664128,0.75742155,0.7934452,0.80075836,0.80139244,0.7973025,0.641847,0.7463074,0.6158192,0.5912088,0.24835598468780518,0.313644254825896,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_0,1,AL_317305852,0.8559504747390747,0.6917438755432764,0.4281702935695648,0.43586123,0.4281703,0.62412155,0.7802901,0.8435754,0.8559505,0.8298853,0.8234294,0.8004024,0.7905837,0.60784024,0.48081633,0.4277801811695099,0.317305852999385,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
